sample_name	sample_title	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	env_broad_scale	env_local_scale	env_medium	UID
S89	Dc1	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS89
S90	Dc2	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS90
S91	Dc3	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS91
S92	Dc4	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS92
S93	Dc5	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS93
S94	Dc6	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS94
S95	Dc7	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS95
S96	Dc8	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS96
S97	Dc9	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS97
S98	Dc10	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS98
S99	Dc11	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS99
S100	Dc12	leaf metagenome	Danthonia californica	French_flat	2015-05-30	USA: Oregon, Cave Junction, French Flat	42.1 N 123.63 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	French_flatS100
S101	Dc25	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS101
S102	Dc26	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS102
S103	Dc27	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS103
S104	Dc28	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS104
S105	Dc29	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS105
S106	Dc30	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS106
S107	Dc31	leaf metagenome	Danthonia californica	Whetstone	2015-05-31	USA: Oregon, Medford, Whetstone	42.42 N 122.91 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhetstoneS107
