"","Observed","Simpson"
"X89grass",155,0.677625426666667
"X90grass",81,0.908770437777778
"X91grass",170,0.851105511111111
"X92grass",210,0.917844593333333
"X93grass",133,0.905506968888889
"X94grass",121,0.529185808888889
"X95grass",172,0.540088471111111
"X96grass",136,0.357813722222222
"X97grass",194,0.811122602222222
"X98grass",182,0.906500151111111
"X99grass",139,0.746149011111111
"X100grass",135,0.798865364444444
"X101grass",192,0.808859677777778
"X102grass",176,0.883198686666667
"X103grass",136,0.888259817777778
"X104grass",172,0.892551264444444
"X105grass",163,0.878121635555556
"X106grass",160,0.906441882222222
"X108grass",126,0.816280397777778
"X109grass",187,0.866182351111111
"X110grass",150,0.616293831111111
"X111grass",126,0.703962035555556
"X112grass",126,0.534006693333333
"X113grass",159,0.787765395555556
"X114grass",103,0.734941468888889
"X115grass",116,0.702565362222222
"X116grass",135,0.849856466666667
"X117grass",151,0.908433357777778
"X118grass",166,0.844244895555555
"X119grass",220,0.849327886666667
"X120grass",129,0.727194575555556
"X121grass",163,0.877758986666667
"X122grass",161,0.754022171111111
"X123grass",180,0.792041428888889
"X124grass",147,0.779273302222222
"X125grass",178,0.924539984444444
"X126grass",179,0.913281984444444
"X127grass",115,0.929856675555556
"X128grass",122,0.901186313333333
"X129grass",131,0.940044055555556
"X132grass",174,0.871361057777778
"X133grass",216,0.669028713333333
"X134grass",227,0.9457692
"X135grass",216,0.911210566666667
"X136grass",167,0.925740897777778
"X137grass",215,0.666594093333333
"X138grass",156,0.713377075555556
"X139grass",208,0.811102753333333
"X140grass",155,0.846215593333333
"X141grass",195,0.936038493333333
"X143grass",212,0.864764864444444
"X144grass",225,0.951265544444444
"X145grass",218,0.911995613333333
"X146grass",160,0.823503444444444
"X147grass",150,0.482681388888889
"X148grass",226,0.905404133333333
"X149grass",164,0.897276324444444
"X150grass",250,0.906166895555556
"X151grass",179,0.6359149
"X152grass",191,0.945634284444444
"X155grass",208,0.905139371111111
"X156grass",183,0.824823268888889
"X157grass",194,0.847384208888889
"X158grass",133,0.882717926666667
"X159grass",174,0.728198093333333
