"","MDS1","MDS2","site","host"
"5grass","-0.161379394432545","-0.430858284740355","French_flat","F. roemeri"
"6grass","-0.312232737032226","-0.430909313366975","French_flat","F. roemeri"
"7grass","-0.163390683076663","-0.323177560838148","French_flat","F. roemeri"
"8grass","-0.481813426948983","-0.419417500346833","French_flat","F. roemeri"
"9grass","-0.707704127585736","-0.1209992665404","French_flat","F. roemeri"
"10grass","-0.746230392918324","-0.0864525612086052","French_flat","F. roemeri"
"11grass","-0.82609767734778","-0.590817537188854","French_flat","F. roemeri"
"12grass","-0.499114641897349","-0.0456181865909841","French_flat","F. roemeri"
"13grass","-0.248952678298871","-0.606347137195262","French_flat","F. roemeri"
"14grass","-0.591941929669655","-0.0820760217090217","French_flat","F. roemeri"
"15grass","-0.636192465419229","-0.0750664530517332","French_flat","F. roemeri"
"16grass","-0.675948618346882","-0.0200634821366469","French_flat","F. roemeri"
"17grass","-0.199610973143733","-0.0889214852836029","Upper_Table","F. roemeri"
"18grass","-0.235496039042717","-0.136897822035082","Upper_Table","F. roemeri"
"19grass","-0.417296734599531","-0.289626818261449","Upper_Table","F. roemeri"
"20grass","-0.501229228909382","-0.196147066566273","Upper_Table","F. roemeri"
"21grass","-0.451888577588573","-0.107976276851322","Upper_Table","F. roemeri"
"22grass","-0.183286775024404","-0.062978169085171","Upper_Table","F. roemeri"
"23grass","-0.31400096309757","-0.599292208748609","Upper_Table","F. roemeri"
"24grass","-0.0950451424434899","-0.19577547350075","Upper_Table","F. roemeri"
"25grass","-0.111960272266251","-0.280329258538748","Upper_Table","F. roemeri"
"26grass","-0.0268386494192883","-0.413758407320585","Upper_Table","F. roemeri"
"27grass","0.0299836969199101","-0.197085706252643","Upper_Table","F. roemeri"
"28grass","-0.180318519971734","-0.21102366620253","Upper_Table","F. roemeri"
"29grass","0.241027068086048","0.0105451887869752","Hazel_Dell","F. roemeri"
"30grass","0.265420000105321","0.0462373143959212","Hazel_Dell","F. roemeri"
"31grass","0.162011469508168","0.106189627096073","Hazel_Dell","F. roemeri"
"32grass","0.21294780382685","-0.0025859194139934","Hazel_Dell","F. roemeri"
"33grass","0.267221507964422","0.0326071496958235","Hazel_Dell","F. roemeri"
"34grass","0.211157115702025","-0.0150236187642279","Hazel_Dell","F. roemeri"
"35grass","0.573530539035105","-0.264485827351235","Hazel_Dell","F. roemeri"
"36grass","0.42841324613178","-0.0632655076342704","Hazel_Dell","F. roemeri"
"37grass","0.254904686465582","-0.0480000401340444","Hazel_Dell","F. roemeri"
"38grass","0.319977361693326","-0.0632089608067101","Hazel_Dell","F. roemeri"
"39grass","0.248513855115895","-0.0238260936606826","Hazel_Dell","F. roemeri"
"40grass","0.285687586967955","-0.0115634547774132","Hazel_Dell","F. roemeri"
"41grass","0.483442410384863","-0.385774180750824","Horse_Rock","F. roemeri"
"42grass","0.315101669629014","-0.218643442560058","Horse_Rock","F. roemeri"
"43grass","0.383245481029403","-0.331354130488113","Horse_Rock","F. roemeri"
"44grass","0.328144120012408","-0.289598099949423","Horse_Rock","F. roemeri"
"45grass","0.36368801482402","-0.359935750854179","Horse_Rock","F. roemeri"
"46grass","0.229988809073685","-0.29330134424714","Horse_Rock","F. roemeri"
"47grass","0.371039981131693","-0.738380881927091","Horse_Rock","F. roemeri"
"48grass","0.487249829113097","-0.531438251079335","Horse_Rock","F. roemeri"
"49grass","0.26302397305896","-0.234562471144197","Horse_Rock","F. roemeri"
"50grass","0.253764957487663","-0.331050690276395","Horse_Rock","F. roemeri"
"51grass","0.283446572314425","-0.76129975392405","Horse_Rock","F. roemeri"
"52grass","0.0500892877357276","0.0255928589278266","Horse_Rock","F. roemeri"
"53grass","0.448612104680004","-0.390321299409915","Upper_Weir","F. roemeri"
"54grass","0.342395691797659","-0.299435343009199","Upper_Weir","F. roemeri"
"55grass","0.52028792043472","-0.465649887447907","Upper_Weir","F. roemeri"
"56grass","0.293811157983437","-0.359181678076102","Upper_Weir","F. roemeri"
"57grass","0.409128079369699","-0.363082321698057","Upper_Weir","F. roemeri"
"58grass","0.234378528700744","-0.45125969317938","Upper_Weir","F. roemeri"
"59grass","0.329508531473039","-0.972305729114928","Upper_Weir","F. roemeri"
"60grass","0.708098324784799","-0.724073397275729","Upper_Weir","F. roemeri"
"61grass","0.410902425365321","-0.48096358208612","Upper_Weir","F. roemeri"
"62grass","0.487484063569268","-0.646667839803579","Upper_Weir","F. roemeri"
"63grass","0.264093175061138","-0.29807825103524","Upper_Weir","F. roemeri"
"64grass","0.204196416170587","-0.361082974143846","Upper_Weir","F. roemeri"
"65grass","0.484219765734372","-0.0396311012213153","Whidbey","F. roemeri"
"66grass","0.300788797771838","-0.0403463410116483","Whidbey","F. roemeri"
"67grass","0.299428993522609","0.0757366790557098","Whidbey","F. roemeri"
"68grass","0.288411323490777","-0.0993570961648627","Whidbey","F. roemeri"
"69grass","0.400210502018885","-0.0310350996334438","Whidbey","F. roemeri"
"70grass","0.374553910619412","-0.0416109093801361","Whidbey","F. roemeri"
"71grass","0.659612144671642","-0.238546439175152","Whidbey","F. roemeri"
"72grass","0.45061967045892","0.0218124106856777","Whidbey","F. roemeri"
"73grass","0.38330350298848","0.0228428602852717","Whidbey","F. roemeri"
"74grass","0.410520123340051","-0.0124244004553191","Whidbey","F. roemeri"
"75grass","0.387569384458821","0.0793147396324789","Whidbey","F. roemeri"
"76grass","0.473741795659365","-0.0061781517882438","Whidbey","F. roemeri"
"77grass","-0.452183406638504","-0.182813683893925","Roxy_Ann","F. roemeri"
"78grass","-0.292790613161155","-0.251559527282762","Roxy_Ann","F. roemeri"
"79grass","-0.640626748222383","-0.369491139154006","Roxy_Ann","F. roemeri"
"80grass","-0.670002360099915","-0.258827888039473","Roxy_Ann","F. roemeri"
"81grass","-0.435729200857532","-0.163129240440954","Roxy_Ann","F. roemeri"
"82grass","-0.263220183573983","-0.0668512042762917","Roxy_Ann","F. roemeri"
"83grass","-0.354692258054133","-0.59312682399613","Roxy_Ann","F. roemeri"
"84grass","-0.23444779971255","-0.314073159376859","Roxy_Ann","F. roemeri"
"85grass","-0.158601007542316","0.020085805518366","Roxy_Ann","F. roemeri"
"86grass","-0.492735473814154","-0.148139507252209","Roxy_Ann","F. roemeri"
"87grass","-0.275011732913133","-0.186480902443109","Roxy_Ann","F. roemeri"
"88grass","-0.626267450090695","-0.217130815193701","Roxy_Ann","F. roemeri"
"89grass","-0.679128100517758","0.348293132249997","French_flat","D. californica"
"90grass","-0.279362030869842","0.847293986592348","French_flat","D. californica"
"91grass","-0.540616678750366","0.150023431412819","French_flat","D. californica"
"92grass","-0.461418255431105","0.152717275392804","French_flat","D. californica"
"93grass","-0.522109639997227","0.45665440778194","French_flat","D. californica"
"94grass","-1.05903519301615","0.122727146106989","French_flat","D. californica"
"95grass","-1.14230441579428","-0.204896624500711","French_flat","D. californica"
"96grass","-0.891267432379777","0.195461132938289","French_flat","D. californica"
"97grass","-0.967169686349786","-0.0359141313793882","French_flat","D. californica"
"98grass","-0.439775229137027","0.0822651675618241","French_flat","D. californica"
"99grass","-0.69281476041508","0.156295117618429","French_flat","D. californica"
"100grass","-0.851889691597814","0.177701438475297","French_flat","D. californica"
"101grass","-0.449848943004636","0.20072657902554","Whetstone","D. californica"
"102grass","-0.436554746788975","0.139272584974687","Whetstone","D. californica"
"103grass","-0.233966286788459","0.294448216388315","Whetstone","D. californica"
"104grass","-0.36376032156522","0.119539738095797","Whetstone","D. californica"
"105grass","-0.288746468839104","0.185843276569998","Whetstone","D. californica"
"106grass","-0.277888589613054","0.137365581572078","Whetstone","D. californica"
"107grass","-0.356548204752358","0.0715732786018314","Whetstone","D. californica"
"108grass","-0.123565953052752","0.195014841048326","Whetstone","D. californica"
"109grass","-0.49444851309981","0.227234184570081","Whetstone","D. californica"
"110grass","-0.629062078152218","0.168077444409332","Whetstone","D. californica"
"111grass","-0.407545162921173","0.199540105441438","Whetstone","D. californica"
"112grass","-0.549875518895602","0.293448795374516","Whetstone","D. californica"
"113grass","-0.149260412897791","0.209368551505078","Lower_Table","D. californica"
"114grass","-0.196902861466023","0.38924933831019","Lower_Table","D. californica"
"115grass","-0.185166322895753","0.328695513531006","Lower_Table","D. californica"
"116grass","-0.183663208075944","0.224637922561828","Lower_Table","D. californica"
"117grass","-0.388167461081649","0.213990457893944","Lower_Table","D. californica"
"118grass","-0.145514629899885","0.235498273591507","Lower_Table","D. californica"
"119grass","-0.234476316060157","0.325491065056583","Lower_Table","D. californica"
"120grass","-0.226574636811348","0.308872912621865","Lower_Table","D. californica"
"121grass","-0.209720466023657","0.160929750810854","Lower_Table","D. californica"
"122grass","-0.264977924757103","0.15127935863332","Lower_Table","D. californica"
"123grass","-0.211955974504526","0.0987188041668437","Lower_Table","D. californica"
"124grass","-0.300266579780619","0.339017041265465","Lower_Table","D. californica"
"125grass","0.188055277448879","0.48617472851676","Hazel_Dell","D. californica"
"126grass","0.460889364036334","0.724301744647886","Hazel_Dell","D. californica"
"127grass","0.105004959305539","0.820261916170915","Hazel_Dell","D. californica"
"128grass","0.118961166487479","0.710557216431135","Hazel_Dell","D. californica"
"129grass","0.200295871763155","0.624796636157531","Hazel_Dell","D. californica"
"130grass","0.151381122447203","0.373742797189588","Hazel_Dell","D. californica"
"131grass","0.275875693413688","0.442776080338654","Hazel_Dell","D. californica"
"132grass","0.387819532468879","0.526925533880196","Hazel_Dell","D. californica"
"133grass","0.604790792937147","0.147210892051454","Hazel_Dell","D. californica"
"134grass","0.403400453532044","0.459183764391148","Hazel_Dell","D. californica"
"135grass","0.462688513782186","0.50105913666351","Hazel_Dell","D. californica"
"136grass","0.339538189767874","0.605673488846214","Hazel_Dell","D. californica"
"137grass","0.729670419843051","0.0211373103020816","Horse_Rock","D. californica"
"138grass","0.503433230838863","0.32469640016348","Horse_Rock","D. californica"
"139grass","0.726515451981718","0.117380781340068","Horse_Rock","D. californica"
"140grass","0.470196757400264","0.278886965213063","Horse_Rock","D. californica"
"141grass","0.536821765186068","0.179609857380753","Horse_Rock","D. californica"
"142grass","0.514844357224483","0.24060517285568","Horse_Rock","D. californica"
"143grass","0.585155594059483","0.141082746298143","Horse_Rock","D. californica"
"144grass","0.619722073595481","0.530926849915754","Horse_Rock","D. californica"
"145grass","0.56921229315445","0.224637002022348","Horse_Rock","D. californica"
"146grass","0.372764060506993","0.310558746188663","Horse_Rock","D. californica"
"147grass","0.444660652625385","0.135034697223447","Horse_Rock","D. californica"
"148grass","0.283034759211422","0.222286184382481","Whidbey","D. californica"
"149grass","0.20555591185195","0.307828907478613","Whidbey","D. californica"
"150grass","0.389220027740053","0.249827478691147","Whidbey","D. californica"
"151grass","0.257428151683554","0.243440503725829","Whidbey","D. californica"
"152grass","0.0789736720417163","0.261219847933123","Whidbey","D. californica"
"153grass","0.248559100873714","0.30556775948066","Whidbey","D. californica"
"154grass","0.305812195799339","0.25010182976869","Whidbey","D. californica"
"155grass","0.237659739370285","0.260026785985892","Whidbey","D. californica"
"156grass","0.231862175571163","0.171283145931945","Whidbey","D. californica"
"157grass","0.211696103220518","0.189951542574248","Whidbey","D. californica"
"158grass","0.1606308294086","0.331547456230792","Whidbey","D. californica"
