"","89grass","90grass","91grass","92grass","93grass","94grass","95grass","96grass","97grass","98grass","99grass","100grass","101grass","102grass","103grass","104grass","105grass","106grass","107grass","108grass","109grass","110grass","111grass","112grass","113grass","114grass","115grass","116grass","117grass","118grass","119grass","120grass","121grass","122grass","123grass","124grass","125grass","126grass","127grass","128grass","129grass","130grass","131grass","132grass","133grass","134grass","135grass","136grass","137grass","138grass","139grass","140grass","141grass","142grass","143grass","144grass","145grass","146grass","147grass","148grass","149grass","150grass","151grass","152grass","153grass","154grass","155grass","156grass","157grass","158grass","159grass"
"OTU2:5grass",7,12,4,2,4,6,8,0,2,3,2,7,12,2,5,5,2,7,8,0,8,4,3,10,8,4,6,8,6,3,8,3,6,13,2,9,3,4,3,9,2,7,3,0,3,8,34,4,5,61,8,3,62,5,98,6,2,0,6,7,1,4,10,2,5,5,1,4,2,2,6
"OTU1:5grass",268,1162,4312,10167,259,96,92,65,993,6977,35673,6056,8472,10953,19862,17508,14650,6869,5398,27351,9795,3698,11271,4575,33058,6069,38229,22960,10513,13860,10471,36736,13002,10057,30219,27309,3268,653,1215,689,3077,1900,1462,2930,3285,4061,10083,8558,1887,1745,2152,1802,8987,3318,4886,4030,2945,4769,1255,14493,11206,10653,2929,6104,3079,2464,12576,26124,23097,21083,9116
"OTU16:5grass",1,0,0,20,6,0,0,0,2,1174,0,0,1,0,1,1,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,0,0,19,5,0,3,2,77,22,0,124,0,0,0,0,1,44,0,0,0,0,2,0,0,0,1,2,0,0
"OTU263:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96,0,0,0,0,0,171,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"OTU4:5grass",3283,7,69,58,5,2,4,11,37,2,3,8,0,7,7,2,2,5,2,12,6,0,2,11,0,8,8,0,7,4,4,8,1,0,2,6,1,12,4165,2,8,7,7,19,1972,2,1,12,15,32378,22057,5723,1141,6436,18887,0,9300,16512,48455,14,984,299,1,4,1,1,7,1,1,2071,464
"OTU1265:13grass",0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU127:23grass",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,32
"OTU1202:12grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU9:5grass",7,0,639,3451,6,12,6,7,1268,1366,6,327,70,652,1,368,270,83,61,643,91,208,3,127,50,1,2,2721,190,2013,1492,157,1452,387,2704,567,184,10,0,139,92,2,4,1,12,83,3,1,22,0,0,1,1,3,15,4,2,34,52,0,1,2,3,2,0,4,0,5,2,3,35
"OTU13:5grass",7,0,0,7,0,0,0,0,2,0,0,0,8,0,0,8,0,0,0,0,1,0,0,1,13,0,0,7,0,0,0,1,2,0,0,0,5,0,0,2,0,0,0,0,1,0,1,0,10,0,0,8,0,0,1,1,0,0,0,7,0,0,4,0,1,0,0,1,1,0,0
