"","Observed","Simpson"
"X5grass",161,0.84043659
"X6grass",188,0.899356225
"X7grass",164,0.873972785
"X8grass",221,0.902115885
"X9grass",137,0.80208076
"X12grass",138,0.88928969
"X13grass",146,0.91187494
"X17grass",106,0.69558137
"X18grass",161,0.88168947
"X19grass",193,0.947068055
"X20grass",175,0.590581805
"X21grass",140,0.554951525
"X22grass",162,0.870928875
"X23grass",221,0.876015815
"X24grass",158,0.894499135
"X25grass",224,0.94131406
"X26grass",352,0.892369875
"X27grass",210,0.876214015
"X28grass",247,0.917339075
"X29grass",194,0.904345265
"X30grass",178,0.914365755
"X31grass",146,0.91905266
"X32grass",174,0.95033748
"X33grass",192,0.820115735
"X34grass",145,0.928168565
"X35grass",206,0.929461965
"X36grass",216,0.911010245
"X37grass",175,0.92379422
"X38grass",204,0.94834406
"X39grass",203,0.93968436
"X40grass",210,0.91853721
"X41grass",173,0.82379544
"X42grass",168,0.92838633
"X43grass",145,0.89913855
"X44grass",198,0.920965475
"X45grass",155,0.914318915
"X46grass",123,0.80662855
"X47grass",182,0.816669345
"X48grass",271,0.946392985
"X49grass",187,0.85036592
"X50grass",217,0.838883885
"X51grass",98,0.89282171
"X52grass",128,0.95221741
"X53grass",172,0.596787515
"X54grass",190,0.530884615
"X55grass",169,0.52466748
"X56grass",190,0.657382825
"X57grass",158,0.50573835
"X58grass",117,0.192615295
"X59grass",158,0.194382655
"X60grass",325,0.88769825
"X61grass",180,0.493457995
"X62grass",226,0.56429972
"X63grass",215,0.877017115
"X64grass",142,0.30907181
"X65grass",251,0.925294175
"X66grass",198,0.90045539
"X67grass",188,0.7396237
"X68grass",210,0.94105276
"X69grass",229,0.866610135
"X70grass",160,0.84614741
"X71grass",206,0.84737454
"X72grass",195,0.620726035
"X73grass",182,0.817023905
"X74grass",175,0.71048004
"X75grass",204,0.86939185
"X76grass",185,0.8105219
"X77grass",131,0.86839057
"X78grass",144,0.941919235
"X79grass",188,0.92837143
"X80grass",189,0.808781985
"X81grass",158,0.89783023
"X82grass",149,0.827862195
"X83grass",204,0.83151973
"X84grass",124,0.842856045
"X85grass",200,0.89188543
"X86grass",120,0.898271855
"X87grass",136,0.882009605
"X88grass",193,0.76829105
"X89grass",140,0.67851236
"X90grass",73,0.90929971
"X91grass",149,0.852747255
"X92grass",202,0.91799341
"X93grass",129,0.905481425
"X94grass",107,0.5299969
"X95grass",146,0.53320417
"X96grass",124,0.350023455
"X97grass",175,0.814613395
"X98grass",165,0.90772924
"X99grass",127,0.74706721
"X100grass",123,0.79839235
"X101grass",181,0.81412265
"X102grass",164,0.88369238
"X103grass",137,0.8930606
"X104grass",165,0.89327519
"X105grass",147,0.87573414
"X106grass",150,0.904407875
"X107grass",184,0.90546894
"X108grass",124,0.81754253
"X109grass",159,0.867489225
"X110grass",142,0.613588365
"X111grass",116,0.700594235
"X112grass",118,0.529366105
"X113grass",145,0.78470438
"X114grass",102,0.736095605
"X115grass",116,0.699123655
"X116grass",122,0.850240425
"X117grass",140,0.907978495
"X118grass",168,0.844893265
"X119grass",195,0.85096521
"X120grass",120,0.72028273
"X121grass",150,0.876923095
"X122grass",140,0.753954935
"X123grass",155,0.788744865
"X124grass",141,0.777391855
"X125grass",160,0.924734345
"X126grass",172,0.913326825
"X127grass",99,0.929776225
"X128grass",107,0.89972442
"X129grass",131,0.941939235
"X130grass",148,0.801108895
"X131grass",181,0.80139071
"X132grass",158,0.867751665
"X133grass",202,0.67200801
"X134grass",210,0.94525233
"X135grass",191,0.91018155
"X136grass",157,0.92814554
"X137grass",202,0.66029673
"X138grass",143,0.713383975
"X139grass",195,0.81203265
"X140grass",142,0.84853136
"X141grass",190,0.93619398
"X142grass",165,0.90326371
"X143grass",209,0.865507195
"X144grass",213,0.950943125
"X145grass",204,0.91241413
"X146grass",153,0.82355134
"X147grass",130,0.481276845
"X148grass",215,0.90515487
"X149grass",149,0.896737005
"X150grass",212,0.90600051
"X151grass",173,0.634639645
"X152grass",181,0.94537575
"X153grass",161,0.93192974
"X155grass",198,0.903096735
"X156grass",177,0.820434335
"X157grass",177,0.848682985
"X158grass",120,0.88221135
"X159grass",163,0.73056446
