"","s.French_flat","s.Hazel_Dell","s.Horse_Rock","s.Lower_Table","s.Roxy_Ann","s.Upper_Table","s.Upper_Weir","s.Whetstone","s.Whidbey","index","stat","p.value"
"OTU2:5grass",0,0,0,0,0,0,1,0,0,7,0.856273119267413,1e-04
"OTU1:5grass",0,0,0,1,0,0,0,0,0,4,0.508178268633183,1e-04
"OTU16:5grass",0,0,0,0,0,0,1,0,0,7,0.543272747931544,1e-04
"OTU263:5grass",1,0,0,0,0,0,0,0,0,1,0.19870172069356,0.5519
"OTU4:5grass",0,0,1,0,0,0,0,0,1,30,0.437345728495138,8e-04
"OTU1265:13grass",1,0,0,0,0,0,0,0,0,1,0.355764429466734,0.0303
"OTU127:23grass",0,1,0,0,0,0,0,0,1,24,0.450298694338774,3e-04
"OTU1202:12grass",1,0,0,0,0,0,0,0,0,1,0.366196539366176,0.0272
"OTU9:5grass",0,0,0,0,1,1,0,0,0,36,0.65364785148058,1e-04
"OTU13:5grass",0,0,0,0,0,1,0,0,0,6,0.352777655037845,0.0167
"OTU43:5grass",1,0,0,0,0,0,0,0,0,1,0.315916056938098,0.0286
"OTU27:5grass",0,0,0,0,1,1,0,0,0,36,0.306133123412775,0.0271
"OTU19:5grass",0,1,1,0,0,0,0,0,0,18,0.487429585126209,1e-04
"OTU21:5grass",0,0,0,0,0,0,0,0,1,9,0.456436962035326,3e-04
"OTU131:5grass",0,1,0,0,1,1,1,1,1,458,0.272859836615963,0.0951
"OTU3:5grass",1,0,0,0,1,0,0,1,0,66,0.447985361084053,6e-04
"OTU149:25grass",0,0,1,0,0,0,0,0,0,3,0.338245432566081,0.0099
"OTU30:5grass",0,0,0,0,0,0,1,0,0,7,0.449732193825503,1e-04
"OTU5:5grass",0,0,0,1,0,0,0,1,0,34,0.408730818261889,8e-04
"OTU77:5grass",0,1,0,0,0,0,0,0,0,2,0.460744196036704,2e-04
"OTU59:5grass",1,1,0,0,1,1,0,1,0,282,0.206074946272909,0.4399
"OTU3145:81grass",0,0,0,0,1,1,0,0,0,36,0.641238884426886,1e-04
"OTU1306:80grass",1,0,0,0,1,0,0,0,0,13,0.334865372695334,0.0165
"OTU8:5grass",0,0,0,0,0,0,0,0,1,9,0.487018583480548,1e-04
"OTU2755:110grass",1,0,0,0,1,0,0,1,0,66,0.32593010000512,0.0231
"OTU6:5grass",0,0,0,1,0,0,0,0,0,4,0.637746995566834,1e-04
"OTU610:105grass",0,1,0,1,0,0,0,0,1,84,0.276443178224529,0.0797
"OTU1028:13grass",1,0,0,0,0,0,0,0,0,1,0.35359194928305,0.0303
"OTU290:5grass",1,0,1,0,1,0,1,0,0,157,0.21541500894782,0.3943
"OTU240:5grass",1,0,0,0,0,0,0,0,0,1,0.257803544852074,0.2764
"OTU1603:24grass",0,0,0,0,1,1,0,0,0,36,0.574006940012275,1e-04
"OTU818:5grass",1,0,0,0,0,0,1,0,0,15,0.343767470007336,0.0139
"OTU960:5grass",1,0,0,0,0,0,0,0,0,1,0.221313334068995,0.482
"OTU303:5grass",1,0,0,0,0,0,0,0,0,1,0.249843840654104,0.3972
"OTU286:5grass",1,0,0,0,0,0,0,0,0,1,0.276194373705784,0.041
"OTU18:5grass",0,0,0,0,1,1,0,0,1,122,0.477512270215696,1e-04
"OTU7:5grass",0,0,0,0,0,0,0,1,0,8,0.492004000160224,3e-04
"OTU25:5grass",0,1,0,1,0,1,0,1,1,354,0.429364541632892,5e-04
"OTU12:5grass",0,1,0,0,1,1,0,1,0,212,0.298719966557201,0.04
"OTU107:5grass",1,1,1,0,0,0,0,0,1,135,0.281879048805738,0.0641
"OTU37:5grass",0,1,1,0,0,0,0,0,1,79,0.499856681254813,2e-04
"OTU175:6grass",1,0,0,0,0,0,0,0,0,1,0.502073975062552,1e-04
"OTU60:5grass",1,0,0,0,0,0,0,1,0,16,0.546371238352175,1e-04
"OTU20:5grass",0,1,0,0,1,1,0,1,0,212,0.328568033397612,0.0142
"OTU47:6grass",1,0,0,0,0,0,0,0,0,1,0.189540341927116,0.8035
"OTU26:5grass",0,0,1,0,0,0,0,0,0,3,0.262210995127981,0.139
"OTU259:24grass",0,0,0,0,1,1,0,0,0,36,0.258980989325022,0.0948
"OTU371:5grass",0,0,0,0,0,0,1,0,0,7,0.29070476333356,0.0583
"OTU126:5grass",1,0,0,0,0,0,0,0,1,17,0.244502587695652,0.2099
"OTU842:5grass",1,0,0,0,0,0,0,0,0,1,0.192726385675076,0.7505
"OTU10:5grass",0,1,0,0,0,0,0,0,1,24,0.442119051381252,3e-04
"OTU92:5grass",0,0,0,0,0,0,0,0,1,9,0.418542021305639,0.0016
"OTU264:19grass",0,0,0,0,1,1,0,0,0,36,0.729492330146435,1e-04
"OTU134:5grass",0,0,0,0,0,0,0,0,1,9,0.350789452107626,0.006
"OTU160:5grass",0,0,0,0,1,0,0,0,0,5,0.345536709342093,0.0142
"OTU166:5grass",0,0,0,0,0,0,1,0,0,7,0.271464918611955,0.084
"OTU279:5grass",0,1,1,0,0,0,1,0,1,199,0.367663896042047,0.0034
"OTU75:6grass",0,0,1,0,0,0,0,0,0,3,0.243045883057937,0.2033
"OTU276:5grass",1,0,0,0,0,0,0,0,0,1,0.245531427399693,0.4059
"OTU2526:13grass",1,0,0,0,0,0,0,0,0,1,0.360678772313102,0.0289
"OTU3439:5grass",1,0,0,0,0,0,0,0,0,1,0.190663127367419,0.8813
"OTU500:6grass",1,0,0,0,0,0,0,0,0,1,0.222815047549013,0.3984
"OTU46:7grass",0,1,1,0,0,0,0,0,1,79,0.256903184335729,0.1619
"OTU67:5grass",0,0,1,0,0,1,0,0,0,27,0.229777314924221,0.2893
"OTU182:5grass",0,0,0,0,1,1,0,0,0,36,0.369763755232326,0.0076
"OTU156:13grass",0,0,0,0,0,0,0,1,0,8,0.212583993971464,0.48
"OTU808:5grass",1,0,0,0,0,0,0,0,0,1,0.353403995989564,0.0303
"OTU222:130grass",0,1,0,0,0,0,0,0,1,24,0.374756345482723,0.0036
"OTU742:5grass",1,0,0,0,0,0,0,0,0,1,0.260052189034491,0.1046
"OTU44:5grass",0,1,0,0,1,1,0,1,0,212,0.348131274318668,0.0073
"OTU61:5grass",0,0,0,0,0,0,0,0,1,9,0.272400966752226,0.0861
"OTU2851:54grass",0,0,0,0,0,0,1,0,0,7,0.8373360942899,1e-04
"OTU475:8grass",1,1,0,0,1,0,0,0,1,144,0.174496958791124,0.7801
"OTU567:5grass",1,0,0,0,0,0,1,0,0,15,0.170696642712513,0.9441
"OTU22:6grass",0,0,0,0,0,1,0,0,0,6,0.49668267049158,1e-04
"OTU118:8grass",0,0,0,0,0,1,0,0,0,6,0.502935499037893,1e-04
"OTU2413:112grass",1,0,0,0,1,1,0,1,0,177,0.331471424045759,0.024
"OTU404:34grass",0,0,0,0,0,0,1,0,0,7,0.283053385842184,0.0858
"OTU2422:8grass",1,0,0,0,0,0,0,0,0,1,0.329039540664968,0.0303
"OTU3379:13grass",1,0,0,0,0,0,0,0,0,1,0.310808808588101,0.0322
"OTU150:5grass",0,0,0,0,1,0,0,0,0,5,0.211157648535174,0.619
"OTU103:5grass",0,0,0,0,0,0,0,1,0,8,0.516350111153846,1e-04
"OTU1050:28grass",1,0,0,0,0,1,0,0,0,14,0.328997433701903,0.0191
"OTU31:7grass",0,0,0,1,1,1,0,1,0,242,0.558319541934398,1e-04
"OTU49:5grass",0,0,1,1,0,1,1,1,1,463,0.167868635459774,0.7873
"OTU381:26grass",0,0,0,0,0,0,0,0,1,9,0.167237472295874,0.8843
"OTU199:5grass",0,0,1,0,0,0,0,0,0,3,0.200945882399905,0.534
"OTU981:37grass",0,1,0,0,1,1,0,0,1,213,0.410859897395136,0.0013
"OTU2541:6grass",1,0,0,0,0,0,0,0,0,1,0.259281489420866,0.1193
"OTU375:13grass",1,0,0,0,1,0,1,1,0,179,0.170194382932809,0.8324
"OTU620:13grass",1,0,0,0,0,0,0,0,0,1,0.36718821587916,0.0026
"OTU312:5grass",1,0,1,1,1,0,0,1,0,293,0.173592939727512,0.8072
"OTU53:8grass",0,1,0,0,0,0,0,0,0,2,0.338594203202259,0.0105
"OTU3872:13grass",1,0,0,0,0,0,0,0,0,1,0.294091060728257,0.0382
"OTU200:5grass",0,0,0,0,0,0,1,0,0,7,0.364544779006664,0.0026
"OTU351:5grass",1,0,0,0,1,0,0,0,0,13,0.192483935063264,0.6601
"OTU297:15grass",0,0,1,0,1,0,0,0,1,103,0.15462299780807,0.8743
"OTU211:6grass",1,0,0,0,1,1,0,0,0,64,0.295424652381425,0.0604
"OTU2023:5grass",1,0,0,0,0,0,0,0,0,1,0.367915649909204,0.0156
"OTU15:5grass",0,1,0,0,0,0,0,0,1,24,0.487897356375769,2e-04
"OTU11:5grass",0,0,1,0,0,0,0,0,0,3,0.314347299574825,0.0354
"OTU17:5grass",0,1,1,0,1,1,0,1,0,337,0.318668121558194,0.0199
"OTU3447:99grass",0,0,0,1,0,0,0,0,0,4,0.491959998800493,1e-04
"OTU1128:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU291:5grass",0,0,0,0,0,0,0,0,1,9,0.173750188908491,0.8568
"OTU3285:5grass",1,0,0,0,0,0,0,0,0,1,0.368861760277458,0.0087
"OTU1975:94grass",0,0,1,0,0,0,0,0,0,3,0.240185377765488,0.2201
"OTU370:45grass",0,0,1,0,0,0,0,0,0,3,0.313944448539976,0.028
"OTU3169:13grass",1,0,0,0,0,0,0,0,0,1,0.320195709590009,0.0305
"OTU111:5grass",0,0,0,0,1,0,0,0,0,5,0.523899009046989,1e-04
"OTU1038:91grass",1,0,0,0,0,0,0,0,0,1,0.335791156646217,0.0158
"OTU2012:18grass",0,0,0,0,0,1,0,0,0,6,0.485155691060349,3e-04
"OTU2318:55grass",0,0,0,0,0,0,1,0,0,7,0.777457910849127,1e-04
"OTU1462:16grass",1,0,0,0,0,0,0,0,0,1,0.328890891200523,0.0185
"OTU1127:93grass",1,0,0,0,0,0,0,0,0,1,0.198599842950434,0.4112
"OTU41:5grass",0,1,0,0,1,1,0,1,0,212,0.242937107362561,0.2047
"OTU173:5grass",0,1,0,0,0,0,0,0,0,2,0.191087395931247,0.6124
"OTU2902:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU181:5grass",0,0,0,0,0,0,1,0,1,44,0.404047554597036,0.0031
"OTU35:5grass",0,0,0,0,0,0,1,0,0,7,0.224470153967462,0.3876
"OTU227:6grass",1,0,0,0,0,0,0,0,0,1,0.336713933637691,0.0288
"OTU1097:5grass",1,0,0,0,0,0,0,0,0,1,0.286646958457437,0.0436
"OTU192:26grass",0,0,0,0,0,0,0,0,1,9,0.282692060614056,0.0697
