"","5grass","6grass","7grass","8grass","9grass","10grass","11grass","12grass","13grass","14grass","15grass","16grass","17grass","18grass","19grass","20grass","21grass","22grass","23grass","24grass","25grass","26grass","27grass","28grass","29grass","30grass","31grass","32grass","33grass","34grass","35grass","36grass","37grass","38grass","39grass","40grass","41grass","42grass","43grass","44grass","45grass","46grass","47grass","48grass","49grass","50grass","51grass","52grass","53grass","54grass","55grass","56grass","57grass","58grass","59grass","60grass","61grass","62grass","63grass","64grass","65grass","66grass","67grass","68grass","69grass","70grass","71grass","72grass","73grass","74grass","75grass","76grass","77grass","78grass","79grass","80grass","81grass","82grass","83grass","84grass","85grass","86grass","87grass","88grass","89grass","90grass","91grass","92grass","93grass","94grass","95grass","96grass","97grass","98grass","99grass","100grass","101grass","102grass","103grass","104grass","105grass","106grass","107grass","108grass","109grass","110grass","111grass","112grass","113grass","114grass","115grass","116grass","117grass","118grass","119grass","120grass","121grass","122grass","123grass","124grass","125grass","126grass","127grass","128grass","129grass","130grass","131grass","132grass","133grass","134grass","135grass","136grass","137grass","138grass","139grass","140grass","141grass","142grass","143grass","144grass","145grass","146grass","147grass","148grass","149grass","150grass","151grass","152grass","153grass","154grass","155grass","156grass","157grass","158grass","159grass"
"OTU2:5grass",14.5184385254692,13.0267403385074,13.3171136255242,14.4978342276063,5.17494728942182,4.21432677964326,4.64568992104376,0,3.30770054717361,3.6752540804608,3.58908957992118,5.66955932325801,4.74479950358443,3.63527270749349,2.0770971680154,4.76446696543845,3.86105664801168,1.56485014368337,1.53307763006137,3.36254769063673,9.54012317785422,12.2857967597536,9.22423191987754,11.1435985803336,1.82074407800217,2.21143256659914,2.25110672964699,1.87881245215385,4.39842088346911,1.94260819587535,3.19114863971894,0,6.93666513886453,7.22393951989851,0,1.64206378369705,14.0714628288698,11.5834732785877,11.960166878443,12.3122024071497,12.7522862519904,14.6692168692308,14.6910669153618,7.79834191325806,13.9526795233224,14.0699510103658,3.17213291891367,4.0105672462202,16.9782277612026,16.7385609220268,15.732467598506,15.2306491932726,15.8369738308668,19.4449107769092,19.2851819747331,9.5991014032593,17.1951049272812,16.3332614237404,10.0263032282991,17.4446703364376,2.83892904847686,4.56885873931965,7.57837361222503,1.56264875771884,1.54939087672074,2.36835350569885,2.45257817828166,0,4.3316682773461,3.79701162377058,0,4.50653546404671,3.8727766478543,2.05757612819976,2.15177467182898,3.90231206347095,2.10154239004496,2.43541565354757,2.87910476974751,0,1.57680487227495,2.15643736751463,0,5.40273905374267,1.19372925691591,4.21384059135241,1.20949427235015,0.156789687477726,1.3180141743092,5.09819873465307,5.69992519740758,0,3.69915648012812,0.923455928681115,1.70924551498202,2.32591443429753,2.61848830072166,0,0.319873603645984,0.685681957889054,0,1.8949837904549,2.44245629101796,0,2.98906507979426,2.23043908058181,0.768138513345191,3.24329642264835,1.28330913088945,1.51831393817692,1.30570962345532,2.02322584738079,1.31165667309659,0,1.73053628432134,0,1.09287558042144,4.4997358674776,0,2.38587294169139,1.63335290709659,2.36126046206345,1.46027736292301,3.48619015593787,0.293906479113769,3.48200363856925,2.8249849898075,0,3.41649469456248,2.12783356478554,3.86804436180862,1.02520889288111,3.44405870507082,7.24076911139079,4.00863562633739,2.29993968222728,5.95536682952842,3.34771648803504,6.99673027002951,2.69026076000206,0.960240282346536,0,4.70917248357827,1.07225271955656,0,0.711569679630607,3.87407609684207,0.516687695839781,2.37029985754392,2.82721067590807,0,0.818487100183676,0.189368444232403,0,2.05415545439088
"OTU1:5grass",12.8321268060162,11.6312282578083,12.0789218778017,11.3704637729174,12.7824268043303,12.0789218778017,12.0789218778017,12.0789218778017,12.0135764167398,12.6146541665135,13.8752241850964,12.0565924494656,14.0812359662651,12.0789218778017,12.0789218778017,12.0789218778017,12.0789218778017,12.0789218778017,12.0850902750688,12.0789218778017,12.1368353479556,12.7759794098124,12.9524151022603,12.162905485773,9.03916933241304,11.6941684562419,10.4365397679422,10.6788602924507,14.2768853177802,12.0789218778017,12.0789218778017,12.2671200214296,12.0789218778017,11.1799979477996,10.7387767541527,12.3637883060035,11.3831888485608,8.97438370848639,9.12847984865543,11.4904640183487,10.6942516408749,9.16429972757523,9.34755653972254,11.8183008375792,11.2327298945743,10.2859029663798,12.0789218778017,11.6018514731954,12.0789218778017,11.5414290652645,10.3653579537077,11.213163725718,10.6563247474415,12.0789218778017,11.9969061254512,12.0789218778017,11.562811922108,11.4222153299736,10.5003732171033,11.6060200316986,12.0789218778017,11.8500824865744,7.87556941549532,10.845317387721,12.4155713294497,12.0789218778017,12.0789218778017,12.0789218778017,12.0789218778017,12.2287597246226,12.0789218778017,14.1473008195791,14.1392914197238,12.0789218778017,12.2974060085628,13.0890140269714,12.0789218778017,13.4664269882314,13.419115312704,11.8454590701685,12.0789218778017,12.1705510789782,12.7013253742455,11.3707112979785,6.44436452199842,10.8102590659297,11.275416759733,12.451307820308,7.3273110155237,9.09767874823856,9.22315344987332,5.76310119313759,12.6533463154646,12.0968551045907,15.8259750827148,12.0789218778017,12.0789218778017,11.3194962367147,12.2604126839601,12.4476486916357,12.0789218778017,11.8284059382809,11.8371736443228,13.2010518104036,13.2445030609043,12.0789218778017,12.6323304103473,12.0789218778017,13.2882070967806,12.0789218778017,13.9354329973809,13.5053851745125,12.0789218778017,12.0789218778017,12.0789218778017,13.250122485654,12.1654428354715,14.0943697719361,13.4024292771834,13.9494009350689,11.7164581771328,9.70852265642072,10.1151601657047,9.7429516872045,10.8656875109162,11.564737950861,11.7510733779591,12.0789218778017,13.5114317050191,11.1111115264854,12.0789218778017,12.0789218778017,12.0022678692444,12.0789218778017,12.0789218778017,11.5265064735404,13.134490338744,12.7200226780262,12.6363127991757,12.0789218778017,11.4745181242442,12.2255634324235,12.4169587487672,12.0789218778017,13.1815153682544,12.0789218778017,12.0670489760352,12.0789218778017,11.6329473263767,11.7693964817418,13.1209335087122,13.4807844975235,13.6680788222672,12.0789218778017,12.618803142821
"OTU16:5grass",12.4024530219157,10.0400093042296,10.1082928769699,12.8351685818733,1.72075915896134,0,0.954312259682845,0,1.89585326743935,2.0932596362114,3.58908957992118,0,2.93921389402967,0,0,1.18716059265967,0,0,0,8.07573899329939,1.24737692522489,9.18295629863435,0,8.4224556871916,0,2.68421615655015,0,0,7.47901473091781,0,0,1.67016093674908,10.2515419704947,7.5120923516301,0,0,11.1836034460029,8.02707151859805,11.1950746140116,10.4544421559687,9.8903391453657,5.83691163418393,6.49307765420649,2.17021228147187,11.794722286801,11.871310214361,11.1222889602072,6.88401828896857,14.1167823727233,11.26636442972,10.7621923154939,10.8814674200722,13.0863982165587,11.2533657513105,10.6887906914314,6.37870608266302,15.1180479791334,12.8243599114644,13.4734558110378,8.69231559598741,1.67231427860923,6.73198332880212,0.00974088704571588,1.24232355804766,9.65861042951776,0,0,6.60845331417709,13.8612406303239,11.132261022389,0.596404398516838,0,1.876657488089,0,0.164496727004967,0.911161058882123,7.59971067274162,0,0,8.67001066070905,0.583138413027241,1.74281717338243,0.728393365579733,0,0,0,0,3.46334898176597,1.90044014042506,0,0,0,3.69915648012812,9.52570211621299,0,0,0,0,0,0,0.256254311045129,0,0,0,0.996210833179382,0.242491161333231,0,0,0,0,0,0,0,0,0,0,0.512342457196134,0.809317692095748,0,0,1.63335290709659,0,0,0,0,0,0,0,6.07796117185528,1.45236221899377,0,0.613267795961435,2.12474380275711,7.57679221544872,5.46731618390726,0,6.95521375180964,0,0,0,0,0.0248225631000582,7.58301432560569,0,0,0,0,0.516687695839781,0,0,0,0,0.189368444232403,0,0
"OTU263:5grass",9.32447663231218,5.48252544220214,7.26744264805519,4.08191437881124,0,0,0,5.09810877276462,0,0,0,0,1.94168547956527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34577757086483,0,0,0,0,0,0,0,0,0,0,0,1.67231427860923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09402172255929,6.02421360239298,0,0,0,0,0,5.69371295662101,0,0,0,0,0,0,0,3.89258958757762,0,0,0,0.0605349234281667,0,0,0,0,0,0,0,4.83042022296333,0,0,0,0,0,0,0,0,4.34678358991214,0,0,0,0,0,0,0,0,0,0,0,0,4.54775235377059,0,0,0,0
"OTU4:5grass",10.1746850092047,9.33166741357573,8.76020745381677,10.8661921200144,4.03807449482594,3.97350467463471,1.94941423443184,6.14844797365421,8.42477768221248,4.41162496321446,6.17273639517557,7.18388988978358,2.93921389402967,4.10433343508797,3.7063154010789,1.18716059265967,3.18376849965747,2.36945521962642,2.11585448527262,3.8689606109923,6.04700604519577,8.97506298146922,6.86681092894011,8.36255414803027,7.38315964289902,11.0775299415506,12.2720259149595,8.08705939414001,12.0887692847932,11.9249307258993,11.9314587382305,11.8722215342719,10.9911636048003,9.71458220776903,2.87881552925752,10.9383335894074,3.79608487332099,2.73273340446306,3.13321531694864,0,1.11555613430828,5.1001675640121,5.49328852045072,4.39954937341308,4.97818377866777,2.56526774748426,3.90825571515547,7.79083382587127,6.38291521050079,4.19176875956895,5.37814876725516,1.384915186074,3.50823594317365,5.7618550056003,6.9746847139986,2.34408666586754,3.68776331923978,2.41640716062938,6.25354470970323,5.62226604817927,10.693573996268,12.849455853808,13.2888259232571,9.66997584630668,13.1678617962409,14.1949504930393,14.239760471785,16.5272151972008,14.7267354138045,10.9426278151685,7.59513748389969,16.2546263918829,0,2.97296740197272,3.14963790182894,1.90611445098368,2.10154239004496,2.57260023262524,1.74469222418861,3.50422061646895,0.264361558185282,1.16068304150619,0,3.6583677646907,10.0588740207225,3.43696374463008,5.31027092123224,4.99827344654706,1.63842115016203,3.51434459975142,4.7002905495072,3.20188050521322,7.90722596379543,0.343471409294057,2.2922733553253,2.51808638893173,0,0.719366829100529,0.800965037248199,0,0,1.41159439454462,0.452872040755171,2.05129347132042,2.57482417683981,0,0.188716033973758,3.38061767663278,0,2.51499988470882,1.71882908608345,0,1.53295803857163,0.335374320939981,0.736232795147256,1.09412618646693,0,0,0,1.80272383595131,0.0605349234281667,3.94375808192848,11.8925082153053,1.32217707232393,2.28227663145265,3.48200363856925,4.04584563057073,4.81083697842364,12.7751989693873,0.140766762823479,0,2.60394857961435,5.02785750512268,16.2926326543793,15.4364045135789,13.1936746571643,10.1569640554205,13.6758717536846,14.5869783815512,0,13.1334766444012,14.0173167993707,17.6878416384224,2.06773887589476,9.67206733867182,6.92410345461489,0.56373355497514,1.51005595454752,0.0629393246798103,0.515921046002494,2.31372450467565,0,0,8.73128147742947,8.32265524635018
"OTU1265:13grass",12.4723901408149,9.42265637914499,10.7522259006994,11.2274179030748,6.66937270845555,0,0,10.823539369315,13.2719281605757,9.36805650493052,0,6.18402053155108,2.52500096192371,0,0,1.18716059265967,0,0,0,0,0.985937177354472,4.64231119742793,0,0,0,0,0,0,0,0,0,0,0.447970033591713,0,0,0,1.89294609959511,0,0,0,0,0,0,0,0,0.256079890239007,0,0,1.34577757086483,2.02547405021564,0,0,0,0,0,0,2.68923568606175,0,3.6027831238447,0,3.25330313321553,1.45949712904391,0,2.40778946936422,0,0,0.462921583248003,3.60981512306541,4.96876128982628,0,0,0,0.881807733660536,0,0,0,0,0,0,0,0,0,0,0,0,0.640070334814187,0,0,0,0,0,0,0,0.923455928681115,0,0,0,0,0,0,0,0,0,0,0.00565685454199657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605349234281667,0,0,0,0,0,0,0,1.83508189116224,0,0,0,2.70825540585214,0,2.01216846821803,0,0,0,0,1.11116116219665,0.960240282346536,0,3.70989829238908,0,0,0,0,0,0,0,0,0,0,0,0
"OTU127:23grass",4.80290091754867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16461053808879,0,4.03506367316282,4.41262073560917,6.74493895789069,0,3.25414570000479,7.43576477369671,7.67922150349026,7.72972575821546,6.21390513989297,3.60549589522304,6.54535854796913,3.97055308048002,2.80860843646882,0,0,0,0,0,0,1.59228349775989,0,0,1.24813699880799,0,0,0,0,0,0,0,0,3.97574139763533,0,0,0,1.38610415145506,0,7.64943583715665,2.87021785075686,0,2.40778946936422,5.2298997653066,7.86937360441013,7.97274312383504,10.3664962176816,6.68454628979314,9.76459496322343,5.53841707548966,7.0294069401993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372275030831016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87404869771133,1.11116116219665,0,0,3.70989829238908,0,0,0,0,0,0,0,0,0,0,0,4.46547495658714
"OTU1202:12grass",7.08066176932483,4.589804728789,5.06029335136513,6.23858523140899,0,0,0,5.96292907491538,8.23065707539248,4.41162496321446,0,2.86444095982274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610124666540597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722651946675749,0,0,1.38913394699084,0,0,0,2.12783356478554,0,0,0,0,0,0,0,0,0,0,0,0
"OTU9:5grass",11.6578236040966,9.19278047714463,12.1924419026339,10.1893330791692,14.8653723523354,11.2975058416391,11.2054187451671,9.519043737405,7.54428784257909,9.88540464784087,12.4392630033288,11.74141993353,7.79480249240187,10.0626044925696,7.36916372787377,9.69058106767385,12.5528034233176,10.9512852075683,10.9055329401065,12.7265648407404,12.4710883301754,11.3040991208101,12.0166030383667,10.4198607398245,0,0,1.47634150043742,0,2.91461367310283,2.81483211593709,1.32220633251629,0.0970395191428017,1.44101516231919,1.28616886062846,2.77946415748615,0.648118680115186,2.21385241972781,3.62952974972809,2.24198326348223,1.09613247914567,2.11117566150709,9.09362464404692,9.28644628718029,7.10629298477805,3.90845707499067,10.1957941932803,2.58822287863256,1.43147779218874,4.33923214720182,8.72820794019275,6.51838041344946,4.5483686265766,5.00192349166869,10.761515816446,10.7689604179905,5.31482475345411,7.30111900207377,12.584443219146,8.76545129321352,12.1734004731038,2.2552920065192,0.87797417570568,0.00974088704571588,5.67759695216048,5.24383408958866,2.63077529935427,1.45603833116201,4.19425906673365,3.48442561713927,1.9261785198204,3.39297593029579,4.50653546404671,6.66608249209745,8.16392094636977,9.26126950102227,10.4108302139263,11.9315883046158,12.0970640052176,12.068145846123,12.377146637414,11.0023540841897,12.1344577171139,12.7286000289779,11.0107971740828,1.19372925691591,0,8.52099147015384,10.8925067580613,1.90044014042506,6.09792144354796,5.28500949758118,2.55098201374355,13.0060347985265,9.74422356877161,3.29033479901578,7.86799614279271,5.16024494084862,7.2493033707767,0,6.87564236208339,6.31735827206236,5.45798800368821,5.37015588918724,7.79050456753158,6.49467664527541,7.92690576228534,0.768138513345191,6.90820431848724,3.92060435738335,0,0,10.428483545675,6.28912923863495,9.29543954039736,9.26786851564721,5.3802905031039,9.00285553054423,9.39467427275255,9.92015826742554,8.35957363186855,7.5659224814682,3.68097044849763,0,7.43362030782359,5.80227101697978,1.67888746380842,3.23935263510972,0.575013476023928,5.41516017518883,5.49894318602256,0.378889443301019,0,5.58021326409511,0,0,0.722651946675749,0.0196658062661794,2.61199335276548,4.28973373870752,2.10676733477319,0.960240282346536,5.09410747700602,7.82400718254812,0,0,0,2.14012757184906,0.516687695839781,0,2.50595093850955,0,1.13826635576669,0.189368444232403,0,4.59468428564978
"OTU13:5grass",9.52261770487233,8.75209838585348,8.95284705508387,9.76623684996969,0,0,0,12.4775545581816,2.63077833954567,0,0,0,16.1432927466058,8.55540602780116,0.350563765567667,16.7042652367504,11.9597589598619,3.36761761539428,3.7503102135334,1.70357369244313,7.98090597308435,6.58928026759605,0,6.27361610475685,1.2384617077203,0,0,1.77964501843907,0,1.36010938127432,3.19114863971894,1.2571070779347,11.6734151642568,0,0,0,2.47620503942786,0,0,2.09169267719709,0,10.7338308336883,10.7609127767685,0,1.591574031429,0,0,0,4.33923214720182,1.03012154739168,0,3.25409263145734,0.0653478415008765,10.5944071745502,10.4823415846251,1.53953023740767,3.27321685926255,0,2.6043447030827,0,3.36862718999826,0,0,2.82193266718647,0,2.63077529935427,3.77242419593307,3.9314321172622,2.16503874798839,0,0,0,14.0852683689527,0,6.06664306432133,14.7977527374419,8.0200177183407,5.08781193340124,5.03238013063922,1.50922742912443,6.12529041989313,0,0,0,1.19372925691591,0,0,1.95196728421874,0,0,0,0,3.69915648012812,0,0,0,2.0350696686198,0,0,1.35933267174701,0,0,0,0,0.00565685454199657,0,0,0,1.98075029276411,0,0,1.83124710761073,0,0,0,0,0,0,0,0,2.36787112718122,0,0,1.32217707232393,0,0,0,0,1.83508189116224,0,0,0,4.44318606156189,0,0,3.71256621993799,0,0,0.396341892156486,0.119889193781997,0,0,0,1.07225271955656,0,0,2.5540886318196,0,0.0629393246798103,0,0,0,0,0,0
