,otu,cleanedName,generalHost,inFF,indSpp,FFhost
0,OTU4:5grass,OTU4,bothHosts,True,False,bothHosts
1,OTU1265:13grass,OTU1265,bothHosts,True,True,bothHosts
2,OTU1202:12grass,OTU1202,bothHosts,True,True,festu
3,OTU1028:13grass,OTU1028,bothHosts,True,True,festu
4,OTU2526:13grass,OTU2526,bothHosts,True,True,festu
5,OTU808:5grass,OTU808,bothHosts,True,True,festu
6,OTU2422:8grass,OTU2422,bothHosts,True,True,festu
7,OTU3379:13grass,OTU3379,bothHosts,True,False,festu
8,OTU620:13grass,OTU620,festu,True,True,festu
9,OTU3872:13grass,OTU3872,bothHosts,True,False,festu
10,OTU2023:5grass,OTU2023,bothHosts,True,True,festu
11,OTU3285:5grass,OTU3285,bothHosts,True,True,festu
12,OTU3169:13grass,OTU3169,bothHosts,True,True,festu
13,OTU3871:13grass,OTU3871,festu,True,True,festu
14,OTU2823:13grass,OTU2823,bothHosts,True,False,festu
15,OTU3282:13grass,OTU3282,bothHosts,True,False,festu
16,OTU1468:13grass,OTU1468,bothHosts,True,False,festu
17,OTU3720:13grass,OTU3720,bothHosts,True,True,festu
18,OTU3721:13grass,OTU3721,bothHosts,True,False,festu
19,OTU34:7grass,OTU34,bothHosts,True,False,bothHosts
20,OTU3525:23grass,OTU3525,festu,False,False,NoHost
21,OTU2389:59grass,OTU2389,festu,False,False,NoHost
22,OTU315:24grass,OTU315,bothHosts,False,False,NoHost
23,OTU3502:38grass,OTU3502,danth,False,False,NoHost
24,OTU949:26grass,OTU949,bothHosts,False,False,NoHost
25,OTU902:30grass,OTU902,bothHosts,False,False,NoHost
26,OTU2521:27grass,OTU2521,bothHosts,False,False,NoHost
27,OTU3107:142grass,OTU3107,bothHosts,False,False,NoHost
28,OTU2683:31grass,OTU2683,bothHosts,False,False,NoHost
29,OTU719:32grass,OTU719,bothHosts,False,False,NoHost
30,OTU3519:138grass,OTU3519,danth,False,False,NoHost
31,OTU204:53grass,OTU204,bothHosts,False,False,NoHost
32,OTU2365:112grass,OTU2365,bothHosts,False,False,NoHost
33,OTU1036:67grass,OTU1036,bothHosts,False,False,NoHost
34,OTU3064:71grass,OTU3064,bothHosts,True,False,danth
35,OTU857:75grass,OTU857,bothHosts,False,False,NoHost
36,OTU465:152grass,OTU465,danth,False,False,NoHost
37,OTU1485:134grass,OTU1485,danth,False,False,NoHost
