qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU64:5grass,Pleosporales_sp|GQ203774|SH1541772.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,95.105,143,4,2,1,141,6,147,5.15e-58,222
OTU175:6grass,Tremellales_sp|KM216348|SH1574513.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp,98.438,128,2,0,22,149,1,128,4.25e-59,226
OTU227:6grass,Ceratobasidiaceae_sp|AF354086|SH1514294.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__unidentified;s__Ceratobasidiaceae_sp,96.209,211,6,2,1,209,1,211,1.66e-94,344
OTU242:53grass,Fungi_sp|GU083044|SH1541236.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,82.123,179,26,6,2,176,23,199,1.15e-35,148
OTU286:5grass,Corticiaceae_sp|HM240188|SH1142287.08FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__unidentified;s__Corticiaceae_sp,90.308,227,14,7,1,223,1,223,2.34e-78,291
OTU493:6grass,Phaeococcomyces_mexicanus|KJ152783|SH1560738.08FU|refs|k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;s__Phaeococcomyces_mexicanus,94.631,149,8,0,1,149,1,149,9.13e-61,231
OTU524:7grass,Hydnodontaceae_sp|JF691338|SH1555064.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__unidentified;s__Hydnodontaceae_sp,97.938,194,4,0,1,194,20,213,2.55e-92,337
OTU620:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.610,177,5,1,3,179,1,176,5.11e-79,292
OTU625:10grass,Fungi_sp|JX984753|SH1573478.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,100.000,67,0,0,3,69,3,69,1.59e-28,124
OTU808:5grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU865:5grass,Xenoteratosphaeria_jonkershoekensis|EU707864|SH1521515.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Xenoteratosphaeria;s__Xenoteratosphaeria_jonkershoekensis,94.366,142,8,0,3,144,3,144,6.83e-57,219
OTU1028:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU1038:91grass,Fungi_sp|JX351215|SH1646012.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.163,141,3,1,1,141,1,140,1.84e-62,237
