qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU64:5grass,Pleosporales_sp|GQ203774|SH1541772.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp,95.105,143,4,2,1,141,6,147,5.15e-58,222
OTU90:13grass,Phaeosphaeriaceae_sp|UDB067309|SH1643453.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp,97.849,186,4,0,1,186,1,186,6.82e-88,322
OTU104:53grass,Schizothecium_sp|UDB0767876|SH1567858.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_sp,90.643,171,15,1,1,171,1,170,4.99e-59,226
OTU175:6grass,Tremellales_sp|KM216348|SH1574513.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp,98.438,128,2,0,22,149,1,128,4.25e-59,226
OTU227:6grass,Ceratobasidiaceae_sp|AF354086|SH1514294.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__unidentified;s__Ceratobasidiaceae_sp,96.209,211,6,2,1,209,1,211,1.66e-94,344
OTU276:5grass,Corticiaceae_sp|HM240188|SH1142287.08FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__unidentified;s__Corticiaceae_sp,88.462,234,11,11,1,229,1,223,1.13e-71,268
OTU468:13grass,Capnodiales_sp|HM030593|SH1176543.08FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__Capnodiales_sp,97.987,149,1,2,1,147,1,149,1.48e-68,257
OTU490:16grass,Trichodelitschia_bisporula|MH859305|SH2592106.08FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Phaeotrichales;f__Phaeotrichaceae;g__Trichodelitschia;s__Trichodelitschia_bisporula,97.647,170,1,3,1,169,1,168,6.19e-78,289
OTU524:7grass,Hydnodontaceae_sp|JF691338|SH1555064.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__unidentified;s__Hydnodontaceae_sp,97.938,194,4,0,1,194,20,213,2.55e-92,337
OTU586:26grass,Constantinomyces_minimus|AY843066|SH1521507.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Constantinomyces;s__Constantinomyces_minimus,97.931,145,3,0,1,145,6,150,6.79e-67,252
OTU620:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.610,177,5,1,3,179,1,176,5.11e-79,292
OTU625:10grass,Fungi_sp|JX984753|SH1573478.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,100.000,67,0,0,3,69,3,69,1.59e-28,124
OTU647:8grass,Bovista_tomentosa|DQ112616|SH1556548.08FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Bovista;s__Bovista_tomentosa,98.545,275,2,2,1,275,6,278,1.26e-136,484
OTU694:97grass,Phaeosphaeriaceae_sp|UDB067309|SH1643453.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp,95.699,186,7,1,1,185,1,186,1.14e-80,298
OTU774:7grass,Annulatascaceae_sp|UDB0558996|SH2728184.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Annulatascales;f__Annulatascaceae;g__unidentified;s__Annulatascaceae_sp,86.239,109,9,6,10,115,13,118,3.64e-25,113
OTU808:5grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU817:98grass,Ascomycota_sp|KF007247|SH1645150.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,93.143,175,11,1,1,174,1,175,6.58e-68,255
OTU865:5grass,Xenoteratosphaeria_jonkershoekensis|EU707864|SH1521515.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Xenoteratosphaeria;s__Xenoteratosphaeria_jonkershoekensis,94.366,142,8,0,3,144,3,144,6.83e-57,219
OTU873:16grass,Ascomycota_sp|AM921701|SH1231821.08FU|reps_singleton|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp,98.026,152,3,0,1,152,9,160,9.22e-71,265
OTU1001:9grass,Herpotrichiellaceae_sp|KC965763|SH1216234.08FU|reps_singleton|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__Herpotrichiellaceae_sp,80.838,167,23,8,19,181,65,226,9.49e-28,122
OTU1028:13grass,Colletotrichum_graminicola|DQ126180|SH2699426.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,96.591,176,6,0,3,178,1,176,5.08e-79,292
OTU1127:93grass,Fungi_sp|MF971872|SH1239435.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.163,141,4,0,1,141,1,141,5.11e-63,239
OTU1153:94grass,Fungi_sp|MF971872|SH1239435.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,97.183,142,2,2,1,141,1,141,5.11e-63,239
OTU1159:26grass,Fungi_sp|MF971225|SH1240489.08FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,96.454,141,5,0,1,141,1,141,2.38e-61,233
OTU1202:12grass,Colletotrichum_graminicola|DQ126207|SH2699422.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_graminicola,97.159,176,5,0,3,178,1,176,1.09e-80,298
OTU1247:96grass,Preussia_minipascua|UDB061175|SH1541791.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_minipascua,97.842,139,3,0,1,139,1,139,1.40e-63,241
