qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU12:5grass,Sample16_ITS4,93.333,60,3,1,2,61,501,443,1.89e-20,87.9
OTU14:5grass,Sample22_ITS4,94.152,171,5,5,1,168,512,344,3.70e-71,255
OTU15:5grass,Sample7_ITS4,100.000,193,0,0,1,193,524,332,1.12e-101,357
OTU20:5grass,Sample19_ITS4,80.220,182,20,10,2,175,512,339,4.02e-31,122
OTU21:5grass,Sample13_ITS4,83.978,181,22,7,1,177,492,315,1.86e-44,167
OTU23:13grass,Sample16_ITS4,95.238,63,3,0,1,63,502,440,1.93e-24,100
OTU30:5grass,Sample1_ITS4,99.306,144,1,0,1,144,434,291,6.59e-73,261
OTU37:5grass,Sample16_ITS4,91.111,45,3,1,8,52,492,449,3.29e-12,60.2
OTU38:5grass,Sample7_ITS4,93.805,113,7,0,40,152,459,347,1.33e-45,171
OTU39:6grass,Sample10_ITS4,85.405,185,15,9,1,184,482,309,6.85e-49,182
OTU42:5grass,Sample16_ITS4,100.000,180,0,0,1,180,502,323,1.75e-94,333
OTU45:14grass,Sample10_ITS4,100.000,174,0,0,1,174,482,309,3.67e-91,322
OTU50:14grass,Sample8_ITS4,100.000,143,0,0,1,143,451,309,5.06e-74,265
OTU62:14grass,Sample14_ITS4,100.000,197,0,0,1,197,566,370,6.83e-104,364
OTU63:5grass,Sample8_ITS4,92.414,145,7,3,1,143,451,309,1.12e-55,204
OTU69:24grass,Sample22_ITS4,100.000,168,0,0,1,168,512,345,7.65e-88,311
OTU76:14grass,Sample12_ITS4,100.000,178,0,0,1,178,501,324,2.25e-93,329
OTU79:26grass,Sample20_ITS4,100.000,217,0,0,1,217,605,389,5.78e-115,401
OTU85:13grass,Sample13_ITS4,100.000,180,0,0,1,180,492,313,1.75e-94,333
OTU86:26grass,Sample24_ITS4,100.000,209,0,0,1,209,537,329,1.55e-110,387
OTU87:15grass,Sample6_ITS4,100.000,184,0,0,1,184,535,352,1.07e-96,340
OTU93:14grass,Sample9_ITS4,100.000,176,0,0,1,176,504,329,2.87e-92,326
OTU105:19grass,Sample15_ITS4,100.000,241,0,0,1,241,553,313,2.94e-128,446
OTU106:15grass,Sample19_ITS4,100.000,175,0,0,1,175,513,339,1.03e-91,324
OTU111:5grass,Sample7_ITS4,96.373,193,7,0,1,193,524,332,5.27e-90,318
OTU122:8grass,Sample15_ITS4,91.093,247,15,3,1,246,553,313,1.14e-92,327
OTU124:6grass,Sample13_ITS4,79.365,189,26,9,1,187,492,315,1.56e-30,121
OTU141:27grass,Sample15_ITS4,93.952,248,6,7,1,246,553,313,2.41e-104,366
OTU151:29grass,Sample4_ITS4,100.000,180,0,0,1,180,485,306,1.75e-94,333
OTU152:53grass,Sample5_ITS4,100.000,232,0,0,1,232,562,331,2.85e-123,429
OTU158:39grass,Sample11_ITS4,100.000,174,0,0,1,174,487,314,3.67e-91,322
OTU166:5grass,Sample11_ITS4,88.439,173,16,4,3,172,485,314,3.81e-56,206
OTU169:8grass,Sample13_ITS4,82.320,181,24,8,1,176,492,315,1.88e-39,150
OTU173:5grass,Sample19_ITS4,79.882,169,22,7,12,174,501,339,2.40e-28,113
OTU189:13grass,Sample23_ITS4,100.000,208,0,0,1,208,528,321,5.56e-110,385
OTU213:15grass,Sample13_ITS4,93.889,180,10,1,1,179,492,313,1.38e-75,270
OTU221:109grass,Sample3_ITS4,100.000,157,0,0,1,157,555,399,9.25e-82,291
OTU251:5grass,Sample13_ITS4,83.237,173,12,13,22,192,472,315,3.42e-37,143
OTU253:50grass,Sample7_ITS4,94.388,196,8,3,1,196,524,332,6.98e-84,298
OTU256:40grass,Sample11_ITS4,81.176,170,17,8,1,170,487,333,4.44e-31,122
OTU281:12grass,Sample19_ITS4,80.110,181,21,10,2,174,512,339,1.44e-30,121
OTU292:87grass,Sample18_ITS4,100.000,361,0,0,1,361,761,401,0.0,667
OTU297:15grass,Sample15_ITS4,90.857,175,13,2,58,231,487,315,8.65e-64,231
OTU314:10grass,Sample15_ITS4,88.017,242,11,8,1,225,553,313,1.77e-75,270
OTU318:12grass,Sample6_ITS4,91.860,86,6,1,2,86,534,449,6.00e-30,119
OTU319:6grass,Sample8_ITS4,94.483,145,6,2,1,145,451,309,3.13e-61,222
OTU326:48grass,Sample10_ITS4,89.831,177,11,4,1,173,482,309,1.37e-60,220
OTU352:20grass,Sample8_ITS4,94.444,144,7,1,1,144,451,309,1.12e-60,220
OTU356:28grass,Sample13_ITS4,90.608,181,12,5,1,177,492,313,5.01e-65,235
OTU360:103grass,Sample7_ITS4,96.891,193,6,0,1,193,524,332,1.13e-91,324
OTU376:30grass,Sample15_ITS4,87.640,178,13,8,71,244,485,313,9.22e-54,198
OTU396:25grass,Sample16_ITS4,94.737,57,2,1,1,56,502,446,1.51e-20,87.9
OTU397:19grass,Sample7_ITS4,92.188,128,9,1,38,164,459,332,2.19e-48,180
OTU410:49grass,Sample16_ITS4,91.489,47,4,0,8,54,492,446,6.06e-14,65.8
OTU417:10grass,Sample16_ITS4,93.443,61,3,1,1,61,502,443,4.58e-21,89.8
OTU422:43grass,Sample10_ITS4,85.792,183,14,7,3,184,480,309,1.91e-49,183
OTU429:17grass,Sample13_ITS4,84.127,189,17,10,1,187,492,315,1.53e-45,171
OTU464:27grass,Sample19_ITS4,91.525,177,12,3,1,176,513,339,1.07e-66,241
OTU507:6grass,Sample11_ITS4,86.364,176,20,4,1,174,487,314,3.88e-51,189
OTU543:29grass,Sample13_ITS4,80.749,187,25,8,1,185,492,315,5.51e-35,135
OTU572:17grass,Sample23_ITS4,83.152,184,16,13,35,215,492,321,1.78e-40,154
OTU632:40grass,Sample11_ITS4,90.173,173,14,3,3,173,485,314,3.80e-61,222
OTU650:104grass,Sample7_ITS4,90.625,128,11,1,38,164,459,332,4.74e-45,169
OTU698:25grass,Sample15_ITS4,93.714,175,9,2,64,238,485,313,1.13e-72,261
OTU712:43grass,Sample15_ITS4,91.057,246,16,3,1,245,553,313,1.13e-92,327
OTU715:64grass,Sample6_ITS4,100.000,32,0,0,29,60,561,530,4.36e-12,60.2
